date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:04:31	220394/220394	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Oct%202019%2015:33:55%20GMT	http://kamleshyadav.com/html/educo/educo/educo_one_instructor/images/content/stdn_slide1.jpg	D:/My%20Web%20Sites/Maccnetic/Home/kamleshyadav.com/html/educo/educo/educo_one_instructor/images/content/stdn_slide1.jpg	(from http://kamleshyadav.com/html/educo/educo/educo_one_instructor/index.html)
21:04:32	2751/2751	---M--	200	added ('OK')	image/png	date:Sat,%2019%20Oct%202019%2015:34:31%20GMT	http://kamleshyadav.com/html/educo/educo/educo_one_instructor/images/footer/F_Logo.png	D:/My%20Web%20Sites/Maccnetic/Home/kamleshyadav.com/html/educo/educo/educo_one_instructor/images/footer/F_Logo.png	(from http://kamleshyadav.com/html/educo/educo/educo_one_instructor/index.html)
21:04:32	15029/15029	---M-Z	200	added ('OK')	text/html	date:Sat,%2019%20Oct%202019%2015:34:32%20GMT	http://kamleshyadav.com/html/educo/educo/educo_one_instructor/private_policy.html	D:/My%20Web%20Sites/Maccnetic/Home/kamleshyadav.com/html/educo/educo/educo_one_instructor/private_policy.html	(from http://kamleshyadav.com/html/educo/educo/educo_one_instructor/index.html)
21:04:33	72167/72167	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Oct%202019%2015:34:22%20GMT	http://kamleshyadav.com/html/educo/educo/educo_one_instructor/images/slider/sec1_s10.jpg	D:/My%20Web%20Sites/Maccnetic/Home/kamleshyadav.com/html/educo/educo/educo_one_instructor/images/slider/sec1_s10.jpg	(from http://kamleshyadav.com/html/educo/educo/educo_one_instructor/index.html)
21:04:37	69707/69707	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2019%20Oct%202019%2015:34:33%20GMT	http://kamleshyadav.com/html/educo/educo/educo_one_instructor/js/bootstrap.js	D:/My%20Web%20Sites/Maccnetic/Home/kamleshyadav.com/html/educo/educo/educo_one_instructor/js/bootstrap.js	(from http://kamleshyadav.com/html/educo/educo/educo_one_instructor/index.html)
21:04:39	29342/29342	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2019%20Oct%202019%2015:34:37%20GMT	http://kamleshyadav.com/html/educo/educo/educo_one_instructor/js/modernizr.js	D:/My%20Web%20Sites/Maccnetic/Home/kamleshyadav.com/html/educo/educo/educo_one_instructor/js/modernizr.js	(from http://kamleshyadav.com/html/educo/educo/educo_one_instructor/index.html)
21:04:39	78843/78843	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Oct%202019%2015:34:27%20GMT	http://kamleshyadav.com/html/educo/educo/educo_one_instructor/images/slider/sec1_s8.jpg	D:/My%20Web%20Sites/Maccnetic/Home/kamleshyadav.com/html/educo/educo/educo_one_instructor/images/slider/sec1_s8.jpg	(from http://kamleshyadav.com/html/educo/educo/educo_one_instructor/index.html)
21:04:40	87639/87639	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Oct%202019%2015:34:27%20GMT	http://kamleshyadav.com/html/educo/educo/educo_one_instructor/images/slider/sec1_s9.jpg	D:/My%20Web%20Sites/Maccnetic/Home/kamleshyadav.com/html/educo/educo/educo_one_instructor/images/slider/sec1_s9.jpg	(from http://kamleshyadav.com/html/educo/educo/educo_one_instructor/index.html)
21:04:40	15959/15959	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2019%20Oct%202019%2015:34:39%20GMT	http://kamleshyadav.com/html/educo/educo/educo_one_instructor/js/smooth-scroll.js	D:/My%20Web%20Sites/Maccnetic/Home/kamleshyadav.com/html/educo/educo/educo_one_instructor/js/smooth-scroll.js	(from http://kamleshyadav.com/html/educo/educo/educo_one_instructor/index.html)
21:04:42	113315/113315	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2019%20Oct%202019%2015:34:39%20GMT	http://kamleshyadav.com/html/educo/educo/educo_one_instructor/js/owl.carousel.js	D:/My%20Web%20Sites/Maccnetic/Home/kamleshyadav.com/html/educo/educo/educo_one_instructor/js/owl.carousel.js	(from http://kamleshyadav.com/html/educo/educo/educo_one_instructor/index.html)
